49,1571
70,1546
37,1505
9,1565
88,1592
32,1582
45,1510
64,1589
31,1564
2,1518
48,1575
63,1530
62,1524
62,1555
1,1578
83,1563
51,1531
22,1586
8,1525
53,1538
62,1590
51,1517
80,1596
74,1599
38,1518
85,1505
39,1587
3,1547
7,1567
94,1537
88,1587
64,1568
27,1592
79,1560
27,1516
1,1563
7,1556
57,1588
10,1551
53,1551
41,1516
21,1527
84,1574
64,1573
81,1545
78,1503
34,1555
78,1520
37,1513
9,1510
19,1587
12,1505
83,1588
88,1504
58,1518
48,1510
76,1561
33,1517
52,1562
18,1510
32,1565
73,1562
12,1525
18,1573
70,1590
48,1504
4,1591
46,1589
71,1555
29,1582
55,1573
71,1556
55,1564
27,1508
55,1537
49,1600
41,1569
92,1532
42,1552
69,1549
70,1572
71,1577
74,1517
64,1594
14,1518
51,1519
74,1563
82,1559
15,1562
48,1510
17,1576
33,1517
91,1545
31,1582
36,1590
6,1571
11,1582
58,1522
69,1559
100,1592
80,1572
11,1583
88,1535
42,1505
28,1563
96,1503
30,1520
11,1522
51,1586
49,1531
41,1521
85,1519
51,1549
91,1567
53,1517
36,1560
50,1566
77,1567
15,1541
49,1537
49,1583
22,1571
46,1501
93,1585
36,1572
7,1600
91,1505
78,1577
18,1518
80,1566
46,1588
6,1592
59,1541
20,1577
48,1538
25,1544
62,1583
95,1500
64,1521
73,1594
62,1547
5,1549
68,1530
61,1510
91,1526
97,1575
48,1539
44,1593
4,1509
77,1583
7,1506
25,1554
32,1519
98,1573
46,1599
54,1581
14,1516
78,1510
2,1582
95,1576
6,1515
80,1513
26,1526
41,1539
36,1551
76,1588
88,1553
21,1554
94,1502
96,1551
70,1589
40,1567
3,1589
7,1532
23,1588
38,1548
12,1504
23,1504
38,1578
38,1519
99,1559
28,1582
27,1502
41,1586
52,1535
21,1544
46,1596
4,1506
98,1593
16,1585
1,1577
92,1548
36,1515
66,1541
22,1522
45,1505
42,1595
54,1599
59,1543
73,1510
55,1522
49,1556
80,1555
100,1598
38,1566
96,1521
34,1516
48,1532
67,1509
15,1522
27,1599
88,1539
5,1594
53,1563
62,1592
62,1572
2,1595
87,1558
13,1510
10,1599
24,1545
68,1552
19,1590
22,1571
44,1542
92,1523
93,1556
33,1522
6,1516
11,1573
67,1545
42,1566
18,1505
80,1529
30,1596
45,1559
87,1599
64,1549
52,1526
94,1527
59,1517
77,1599
44,1517
94,1580
15,1514
70,1540
13,1552
47,1546
34,1544
19,1581
9,1547
13,1500
91,1563
51,1599
77,1539
88,1556
13,1569
4,1553
16,1598
54,1528
72,1579
62,1530
81,1573
4,1594
78,1511
85,1536
63,1579
2,1583
9,1522
78,1516
9,1576
65,1541
89,1584
55,1512
5,1507
21,1552
96,1564
64,1564
68,1559
69,1560
99,1558
6,1517
67,1529
36,1578
76,1553
4,1501
50,1544
20,1512
36,1557
82,1594
91,1562
76,1556
35,1598
28,1549
16,1584
34,1547
45,1547
54,1505
31,1504
27,1599
